,Dataset,Method,Classifier,ConformalPredictor,Top1,Top5,alpha,use_platt_scaling,calibrated_tau,original_coverage,original_size,oracle_tau,predicted_alpha,predicted_tau,predicted_coverage,predicted_size,on_classes_of,raps_kreg,raps_lambda,shift_type
81,ImageNet-Sketch,CHR,resnet50,TPS,0.241,0.413,0.075,False,0.9819785672976588,0.434,6.105,0.9999776802496296,,0.9993119239807128,0.689,71.951,,-1.0,0.0,ImageNet
82,ImageNet-Sketch,CHR-,resnet50,TPS,0.241,0.413,0.075,False,0.9819785672976588,0.434,6.105,0.9999776802496296,,1.0009232759475708,1.0,1000.0,,-1.0,0.0,ImageNet
83,ImageNet-Sketch,DCR,resnet50,TPS,0.241,0.413,0.075,False,0.9819785672976588,0.434,6.105,0.9999776802496296,,0.999340474586091,0.692,74.032,,-1.0,0.0,ImageNet
84,ImageNet-Sketch,PCR,resnet50,TPS,0.241,0.413,0.075,False,0.9819785672976588,0.434,6.105,0.9999776802496296,,0.9870481491088868,0.457,7.913,,-1.0,0.0,ImageNet
85,ImageNet-Sketch,QTC,resnet50,TPS,0.241,0.413,0.075,False,0.9819785672976588,0.434,6.105,0.9999776802496296,0.005040000192821,0.9999600691760908,0.895,327.343,,-1.0,0.0,ImageNet
86,ImageNet-Sketch,QTC-SC,resnet50,TPS,0.241,0.413,0.075,False,0.9819785672976588,0.434,6.105,0.9999776802496296,0.0071527957916259,0.999913314407336,0.848,235.179,,-1.0,0.0,ImageNet
87,ImageNet-Sketch,QTC-ST,resnet50,TCP,0.241,0.413,0.075,,0.981972683211281,0.434,6.104,0.9999776881527404,,0.9978581070899964,0.595,32.033,,,,ImageNet
88,ImageNet-Sketch,ACR,resnet50,TPS,0.241,0.413,0.1,False,0.9612479916616082,0.38,3.365,0.9999629368327712,,0.9988256692886353,0.646,49.811,,-1.0,0.0,ImageNet
89,ImageNet-Sketch,CHR,resnet50,TPS,0.241,0.413,0.1,False,0.9612479916616082,0.38,3.365,0.9999629368327712,,0.9981303215026855,0.607,35.48,,-1.0,0.0,ImageNet
90,ImageNet-Sketch,CHR-,resnet50,TPS,0.241,0.413,0.1,False,0.9612479916616082,0.38,3.365,0.9999629368327712,,0.9987722635269164,0.642,48.245,,-1.0,0.0,ImageNet
91,ImageNet-Sketch,DCR,resnet50,TPS,0.241,0.413,0.1,False,0.9612479916616082,0.38,3.365,0.9999629368327712,,0.9989542811020016,0.656,54.079,,-1.0,0.0,ImageNet
92,ImageNet-Sketch,PCR,resnet50,TPS,0.241,0.413,0.1,False,0.9612479916616082,0.38,3.365,0.9999629368327712,,0.98870450258255,0.468,8.804,,-1.0,0.0,ImageNet
93,ImageNet-Sketch,QTC,resnet50,TPS,0.241,0.413,0.1,False,0.9612479916616082,0.38,3.365,0.9999629368327712,0.0074399998411536,0.9999075349401596,0.844,228.134,,-1.0,0.0,ImageNet
94,ImageNet-Sketch,QTC-SC,resnet50,TPS,0.241,0.413,0.1,False,0.9612479916616082,0.38,3.365,0.9999629368327712,0.0099039077758789,0.9998268497900176,0.799,166.213,,-1.0,0.0,ImageNet
95,ImageNet-Sketch,QTC-ST,resnet50,TCP,0.241,0.413,0.1,,0.9612278006924614,0.38,3.364,0.999962926293638,,0.9957554936408995,0.54,18.952,,,,ImageNet
96,ImageNet-Sketch,ACR,resnet50,TPS,0.241,0.413,0.15,False,0.8901761815445115,0.307,1.514,0.999916867190484,,0.9973098039627076,0.576,26.932,,-1.0,0.0,ImageNet
